output,param,S1,ST,S1_conf,ST_conf
MYC,km9,-0.000150308,4.919e-07,0.000366908,3.58258e-07
MYC,k10,-0.000129329,4.3277e-07,0.000505875,4.03119e-07
MYC,k14,0.0412523,0.0173983,0.0751373,0.019467
MYC,k15,-0.00016263,8.09271e-07,0.000453978,8.09187e-07
MYC,v16,-0.0486266,0.0873075,0.169276,0.0622377
MYC,v17,0.000169277,1.88336e-07,0.000288095,1.01545e-07
MYC,v18,9.70799e-05,1.71889e-06,0.000625944,1.93981e-06
MYC,v19,-0.0027661,5.57373e-05,0.00268412,5.59181e-05
MYC,k20,-0.000318601,6.58388e-07,0.000351379,9.93642e-07
MYC,k21,-0.00015095,9.31626e-07,0.000404621,9.85815e-07
MYC,k22,7.13646e-05,7.90679e-07,0.000367363,8.78742e-07
MYC,k23,-0.000956269,2.24817e-05,0.00208434,1.94264e-05
MYC,MCsynth,0.072583,0.0984491,0.19721,0.097332
MYC,gamma1,0.802129,0.816949,0.373273,0.366359
MYC,retef,-0.0110814,0.00240639,0.0315495,0.00135215
MYC,wntef,-0.000269929,8.78662e-07,0.000446619,1.00758e-06
HOXA13,kp1,0.0262163,0.0254551,0.0797019,0.0473106
HOXA13,km1,0.000505455,6.86214e-05,0.00400954,7.29284e-05
HOXA13,k2,-0.00634519,0.000341612,0.0083231,0.000226301
HOXA13,kp3,0.00157573,3.7633e-05,0.00343164,4.46629e-05
HOXA13,km3,-0.00102484,2.5724e-05,0.00175393,2.75445e-05
HOXA13,kp4,0.000354696,1.30907e-05,0.00168272,1.39359e-05
HOXA13,km4,-0.000945126,1.78256e-05,0.00142523,1.94784e-05
HOXA13,kp5,0.0403127,0.1931,0.205121,0.103224
HOXA13,km5,0.0401074,0.0511899,0.106888,0.0552593
HOXA13,kp6,0.177972,0.262241,0.198288,0.162273
HOXA13,km6,0.0434413,0.0657529,0.111566,0.0670333
HOXA13,k7,0.136092,0.0760516,0.123779,0.0643122
HOXA13,k8,-0.0301237,0.172371,0.162791,0.115643
HOXA13,kp9,-0.000583861,1.86209e-05,0.00176536,1.56312e-05
HOXA13,km9,-0.000270015,3.47849e-05,0.00157236,4.83714e-05
HOXA13,k10,0.00176276,3.08106e-05,0.00363624,4.70444e-05
HOXA13,k14,0.0502678,0.169996,0.177252,0.131247
HOXA13,k15,0.000718462,4.95583e-05,0.00213639,7.32406e-05
HOXA13,v16,0.175145,0.474095,0.340124,0.270035
HOXA13,v17,-0.000234639,1.45094e-05,0.00102193,1.77588e-05
HOXA13,v18,0.00178918,2.08217e-05,0.00182657,2.02984e-05
HOXA13,v19,0.00753933,0.000537154,0.0158224,0.000333008
HOXA13,k20,0.000468266,1.2446e-05,0.000763405,2.01595e-05
HOXA13,k21,-0.000859776,1.6045e-05,0.00182353,1.10803e-05
HOXA13,k22,0.000400195,2.65891e-05,0.00173932,2.18478e-05
HOXA13,k23,-0.000511889,0.000394865,0.0107958,0.000305794
HOXA13,MCsynth,0.292296,0.605374,0.318385,0.327974
HOXA13,gamma1,0.0551942,0.0280584,0.100955,0.0490661
HOXA13,retef,0.034486,0.0779231,0.0995745,0.0640801
HOXA13,wntef,-0.000385999,1.22562e-05,0.00150194,9.19738e-06
Bcat-TCF,kp1,0.100742,0.0793109,0.225517,0.171218
Bcat-TCF,km1,-0.000248605,4.23164e-06,0.00109915,2.60017e-06
Bcat-TCF,k2,0.00189997,0.000120689,0.00408607,0.00015336
Bcat-TCF,kp3,5.91917e-05,5.77218e-07,0.000371491,6.1471e-07
Bcat-TCF,km3,-0.000310142,9.09517e-07,0.000470307,6.04108e-07
Bcat-TCF,kp4,5.81969e-05,7.95596e-07,0.000359659,8.17065e-07
